event-id,visible,timestamp,location-long,location-lat,argos:calcul-freq,argos:iq,argos:lc,argos:location-algorithm,argos:nb-mes,argos:sat-id,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
24174715891,TRUE,54:57.0,178.56,-67.519,4.02E+08,,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715892,TRUE,08:49.0,178.989,-67.451,4.02E+08,7,B,least squares,2,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715893,TRUE,58:21.0,179.206,-67.519,4.02E+08,8,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715894,TRUE,42:50.0,179.528,-67.528,4.02E+08,8,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715895,TRUE,42:50.0,179.521,-67.537,4.02E+08,8,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715896,TRUE,10:11.0,-179.959,-67.553,4.02E+08,8,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715897,TRUE,48:16.0,,,,,,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715898,TRUE,16:31.0,,,,,,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715899,TRUE,43:43.0,,,,,,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715900,TRUE,14:52.0,179.562,-67.544,4.02E+08,60,B,least squares,2,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
